ja; yes
no; nein
gut; good
schlecht; bad
und; and
klein; small
groß; big
dort; there
Deutschland; Germany
Schweiz; Switzerland
Östereich; Austria
Rechnung; bill
Bier; beer
Wein; wine
Kaffee; coffee
Tee; tea
Milch; milk
Wasser; water
Brot; bread
Suppe; soup
Reis; rice
Salz; salt
Pfeffer; pepper
Zucker; sugar
Huhn; chicken
Schweinefleisch; pork
Rindfleisch; beef
Kuchen; cake
Süßgkeit; candy
Nachtisch; dessert
Violett; purple
Blau; blue
Gelb; yellow
Schwarz; black
Rot; red
Rosa; pink
Frau; woman
Frauen; women
Mann; man
Männer; men
Junge; boys
Mädchen; girl
Kind; child
Kinder; children
Tochter; daughter
Sohn; son
Schwester; sister
Bruder; brother
Mutter; mother
Vater; father
Eltern; parents
Tante; aunt
Onkel; uncle
Nichte; niece
Neffe; Nephew
Braut; bride
Bräutigam; groom
Ehefrau; wife
Ehemann; husband
