Hund; dog
Katze; cat
Pferd; horse
Schwein; pig
Kuh; cow
Schaf; sheep
Ziege; goat
Vogel; bird
Maus; mouse
Ratte; rat
Hamster; hamster
Schlange; snake
Spinne; spider
Fliege; fly
Esel; donkey
Meerschweinchen; guinea pig
Hase; rabbit
Fisch; fish
Affe; monkey
Tiger; tiger
Löwe; lion
Elefant; elefant
Giraffe; giraffe
Zebra; zebra
Krokodil; crocodile
Nashorn; rhino
Nilpferd; hippo
Bär; bear
Wolf; wolf
Fuchs; fox
Waschbär; raccoon
Pinguin; penguin
Wal; whale
Hai; shark
Robbe; seal
Schildkröte; turtle
Frosch; frog
Huhn; chicken
Gans; goose
